Year,School Name,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
1999,Alberton Elementary ,,34,38,38,45,38,36,,,,,,
1999,Alternative Education Class,,,,,,,,3,6,8,3,,
1999,Amherst Cove Consolidated,,26,18,27,25,20,26,12,30,,,,
1999,Athena Consolidated,,35,45,45,37,55,54,51,52,64,,,
1999,Belfast Consolidated ,,32,32,33,29,31,36,34,27,32,,,
1999,Birchwood Intermediate,,,,,,,,139,155,164,,,
1999,Bloomfield Elementary ,,39,34,35,43,42,42,,,,,,
1999,Bluefield High,,,,,,,,,,,258,288,280
1999,Cardigan Consolidated,,28,24,30,39,19,27,38,29,,,,
1999,Central Queens Elementary,,36,43,49,56,55,49,,,,,,
1999,Charlottetown Rural High,,,,,,,,,,,324,376,353
1999,Colonel Gray High,,,,,,,,,,,313,328,303
1999,Donagh Regional ,,18,21,21,22,23,22,13,20,18,,,
1999,Dundas Consolidated ,,14,7,10,10,11,8,10,6,,,,
1999,East Wiltshire Intermediate,,,,,,,,187,241,198,,,
1999,Eastern Kings Consolidated,,6,9,14,9,11,15,16,12,,,,
1999,Eliot River Elementary,,,,,139,131,133,,,,,,
1999,Ellerslie Elementary ,,40,26,39,50,38,50,,,,,,
1999,Elm Street Elementary,,56,56,63,104,107,91,,,,,,
1999,Englewood ,,28,29,33,28,25,34,19,23,40,,,
1999,Fortune Consolidated,,31,36,26,26,,,,,,,,
1999,Georgetown Consolidated,,16,9,14,18,8,7,10,13,,,,
1999,Glen Stewart Elementary,,106,123,110,107,110,117,,,,,,
1999,Grand Tracadie Elementary ,,9,10,9,9,8,10,,,,,,
1999,Greenfield Elementary,,86,102,101,42,52,51,,,,,,
1999,Gulf Shore Consolidated ,,42,42,32,43,45,24,40,35,36,,,
1999,Hernewood Intermediate ,,,,,,,,128,113,136,,,
1999,Kensington Intermediate/Senior High ,,,,,,,,81,86,75,76,80,70
1999,Kinkora Regional High,,,,,,,,,,57,56,49,38
1999,L. M. Montgomery,,73,68,72,67,52,60,,,,,,
1999,M.E. Callaghan Intermediate ,,,,,,,,152,96,115,,,
1999,Miscouche Consolidated,,30,27,33,23,24,27,22,28,17,,,
1999,Montague Consolidated ,,68,67,68,67,69,71,,,,,,
1999,Montague Intermediate ,,,,,,,,81,93,171,,,
1999,Montague Regional High ,,,,,,,,,,,213,243,254
1999,Morell Consolidated ,,30,24,29,24,29,26,31,34,,,,
1999,Morell Regional High ,,,,,,,,,,87,74,76,88
1999,Mt. Stewart Consolidated ,,13,11,13,20,14,20,13,16,,,,
1999,O'Leary Elementary ,,38,40,47,41,42,52,,,,,,
1999,Parkdale Elementary ,,18,37,28,42,40,33,,,,,,
1999,Parkside Elementary,,55,45,54,58,54,52,,,,,,
1999,Prince Street Elementary ,,65,52,57,69,58,62,,,,,,
1999,Queen Charlotte Intermediate,,,,,,,,181,180,194,,,
1999,Queen Elizabeth Elementary,,85,56,68,87,96,71,,,,,,
1999,Rollo Bay Consolidated ,,,,,,37,31,39,32,,,,
1999,Sherwood Elementary ,,95,115,100,108,112,101,,,,,,
1999,Somerset Elementary ,,19,29,21,28,26,21,35,27,,,,
1999,Souris Consolidated ,,23,35,23,36,31,32,29,37,,,,
1999,Souris Regional High ,,,,,,,,,,93,91,88,95
1999,Southern Kings Consolidated ,,50,39,41,50,46,46,52,51,,,,
1999,Spring Park Elementary ,,86,85,81,86,90,88,,,,,,
1999,St. Jean Elementary ,,48,45,33,28,35,33,,,,,,
1999,St. Louis Elementary ,,36,31,26,32,32,39,,,,,,
1999,St. Peter's Consolidated ,,15,17,12,11,15,14,15,14,,,,
1999,St. Teresa's Consolidated ,,5,12,7,7,8,11,9,10,,,,
1999,Stonepark Intermediate,,,,,,,,233,310,303,,,
1999,Summerside Intermediate,,,,,,,,214,207,205,,,
1999,Three Oaks Senior High,,,,,,,,,,,287,297,272
1999,Tignish Elementary ,,54,57,50,42,51,46,,,,,,
1999,Tracadie Cross Consolidated ,,20,18,11,15,19,8,14,19,,,,
1999,Vernon River Consolidated ,,22,40,25,26,41,22,27,29,24,,,
1999,West Kent Elementary ,,50,46,73,62,77,51,,,,,,
