School,Year,Level,Size
Alberton Elementary,1999,K,0
Alberton Elementary,1999,Grade 1,34
Alberton Elementary,1999,Grade 2,38
Alberton Elementary,1999,Grade 3,38
Alberton Elementary,1999,Grade 4,45
Alberton Elementary,1999,Grade 5,38
Alberton Elementary,1999,Grade 6,36
Alberton Elementary,1999,Grade 7,0
Alberton Elementary,1999,Grade 8,0
Alberton Elementary,1999,Grade 9,0
Alberton Elementary,1999,Grade 10,0
Alberton Elementary,1999,Grade 11,0
Alberton Elementary,1999,Grade 12,0
Alberton Elementary,2000,K,0
Alberton Elementary,2000,Grade 1,38
Alberton Elementary,2000,Grade 2,32
Alberton Elementary,2000,Grade 3,41
Alberton Elementary,2000,Grade 4,38
Alberton Elementary,2000,Grade 5,47
Alberton Elementary,2000,Grade 6,35
Alberton Elementary,2000,Grade 7,0
Alberton Elementary,2000,Grade 8,0
Alberton Elementary,2000,Grade 9,0
Alberton Elementary,2000,Grade 10,0
Alberton Elementary,2000,Grade 11,0
Alberton Elementary,2000,Grade 12,0
Alberton Elementary,2001,K,0
Alberton Elementary,2001,Grade 1,47
Alberton Elementary,2001,Grade 2,32
Alberton Elementary,2001,Grade 3,30
Alberton Elementary,2001,Grade 4,42
Alberton Elementary,2001,Grade 5,39
Alberton Elementary,2001,Grade 6,47
Alberton Elementary,2001,Grade 7,0
Alberton Elementary,2001,Grade 8,0
Alberton Elementary,2001,Grade 9,0
Alberton Elementary,2001,Grade 10,0
Alberton Elementary,2001,Grade 11,0
Alberton Elementary,2001,Grade 12,0
Alberton Elementary,2002,K,0
Alberton Elementary,2002,Grade 1,38
Alberton Elementary,2002,Grade 2,41
Alberton Elementary,2002,Grade 3,29
Alberton Elementary,2002,Grade 4,29
Alberton Elementary,2002,Grade 5,41
Alberton Elementary,2002,Grade 6,35
Alberton Elementary,2002,Grade 7,0
Alberton Elementary,2002,Grade 8,0
Alberton Elementary,2002,Grade 9,0
Alberton Elementary,2002,Grade 10,0
Alberton Elementary,2002,Grade 11,0
Alberton Elementary,2002,Grade 12,0
Alberton Elementary,2003,K,0
Alberton Elementary,2003,Grade 1,43
Alberton Elementary,2003,Grade 2,38
Alberton Elementary,2003,Grade 3,41
Alberton Elementary,2003,Grade 4,28
Alberton Elementary,2003,Grade 5,32
Alberton Elementary,2003,Grade 6,43
Alberton Elementary,2003,Grade 7,0
Alberton Elementary,2003,Grade 8,0
Alberton Elementary,2003,Grade 9,0
Alberton Elementary,2003,Grade 10,0
Alberton Elementary,2003,Grade 11,0
Alberton Elementary,2003,Grade 12,0
Alberton Elementary,2004,K,0
Alberton Elementary,2004,Grade 1,34
Alberton Elementary,2004,Grade 2,41
Alberton Elementary,2004,Grade 3,37
Alberton Elementary,2004,Grade 4,44
Alberton Elementary,2004,Grade 5,29
Alberton Elementary,2004,Grade 6,33
Alberton Elementary,2004,Grade 7,0
Alberton Elementary,2004,Grade 8,0
Alberton Elementary,2004,Grade 9,0
Alberton Elementary,2004,Grade 10,0
Alberton Elementary,2004,Grade 11,0
Alberton Elementary,2004,Grade 12,0
Alberton Elementary,2005,K,0
Alberton Elementary,2005,Grade 1,41
Alberton Elementary,2005,Grade 2,30
Alberton Elementary,2005,Grade 3,40
Alberton Elementary,2005,Grade 4,37
Alberton Elementary,2005,Grade 5,41
Alberton Elementary,2005,Grade 6,30
Alberton Elementary,2005,Grade 7,0
Alberton Elementary,2005,Grade 8,0
Alberton Elementary,2005,Grade 9,0
Alberton Elementary,2005,Grade 10,0
Alberton Elementary,2005,Grade 11,0
Alberton Elementary,2005,Grade 12,0
Alberton Elementary,2006,K,0
Alberton Elementary,2006,Grade 1,30
Alberton Elementary,2006,Grade 2,34
Alberton Elementary,2006,Grade 3,32
Alberton Elementary,2006,Grade 4,42
Alberton Elementary,2006,Grade 5,37
Alberton Elementary,2006,Grade 6,39
Alberton Elementary,2006,Grade 7,0
Alberton Elementary,2006,Grade 8,0
Alberton Elementary,2006,Grade 9,0
Alberton Elementary,2006,Grade 10,0
Alberton Elementary,2006,Grade 11,0
Alberton Elementary,2006,Grade 12,0
Alberton Elementary,2007,K,0
Alberton Elementary,2007,Grade 1,21
Alberton Elementary,2007,Grade 2,27
Alberton Elementary,2007,Grade 3,34
Alberton Elementary,2007,Grade 4,33
Alberton Elementary,2007,Grade 5,41
Alberton Elementary,2007,Grade 6,38
Alberton Elementary,2007,Grade 7,0
Alberton Elementary,2007,Grade 8,0
Alberton Elementary,2007,Grade 9,0
Alberton Elementary,2007,Grade 10,0
Alberton Elementary,2007,Grade 11,0
Alberton Elementary,2007,Grade 12,0
Alberton Elementary,2008,K,0
Alberton Elementary,2008,Grade 1,30
Alberton Elementary,2008,Grade 2,19
Alberton Elementary,2008,Grade 3,29
Alberton Elementary,2008,Grade 4,33
Alberton Elementary,2008,Grade 5,35
Alberton Elementary,2008,Grade 6,40
Alberton Elementary,2008,Grade 7,0
Alberton Elementary,2008,Grade 8,0
Alberton Elementary,2008,Grade 9,0
Alberton Elementary,2008,Grade 10,0
Alberton Elementary,2008,Grade 11,0
Alberton Elementary,2008,Grade 12,0
Alberton Elementary,2009,K,0
Alberton Elementary,2009,Grade 1,19
Alberton Elementary,2009,Grade 2,28
Alberton Elementary,2009,Grade 3,20
Alberton Elementary,2009,Grade 4,30
Alberton Elementary,2009,Grade 5,33
Alberton Elementary,2009,Grade 6,37
Alberton Elementary,2009,Grade 7,0
Alberton Elementary,2009,Grade 8,0
Alberton Elementary,2009,Grade 9,0
Alberton Elementary,2009,Grade 10,0
Alberton Elementary,2009,Grade 11,0
Alberton Elementary,2009,Grade 12,0
Alberton Elementary,2010,K,24
Alberton Elementary,2010,Grade 1,21
Alberton Elementary,2010,Grade 2,19
Alberton Elementary,2010,Grade 3,28
Alberton Elementary,2010,Grade 4,20
Alberton Elementary,2010,Grade 5,30
Alberton Elementary,2010,Grade 6,33
Alberton Elementary,2010,Grade 7,0
Alberton Elementary,2010,Grade 8,0
Alberton Elementary,2010,Grade 9,0
Alberton Elementary,2010,Grade 10,0
Alberton Elementary,2010,Grade 11,0
Alberton Elementary,2010,Grade 12,0
Alberton Elementary,2011,K,27
Alberton Elementary,2011,Grade 1,27
Alberton Elementary,2011,Grade 2,20
Alberton Elementary,2011,Grade 3,21
Alberton Elementary,2011,Grade 4,30
Alberton Elementary,2011,Grade 5,22
Alberton Elementary,2011,Grade 6,31
Alberton Elementary,2011,Grade 7,0
Alberton Elementary,2011,Grade 8,0
Alberton Elementary,2011,Grade 9,0
Alberton Elementary,2011,Grade 10,0
Alberton Elementary,2011,Grade 11,0
Alberton Elementary,2011,Grade 12,0
Alberton Elementary,2012,K,21
Alberton Elementary,2012,Grade 1,25
Alberton Elementary,2012,Grade 2,24
Alberton Elementary,2012,Grade 3,18
Alberton Elementary,2012,Grade 4,18
Alberton Elementary,2012,Grade 5,31
Alberton Elementary,2012,Grade 6,21
Alberton Elementary,2012,Grade 7,0
Alberton Elementary,2012,Grade 8,0
Alberton Elementary,2012,Grade 9,0
Alberton Elementary,2012,Grade 10,0
Alberton Elementary,2012,Grade 11,0
Alberton Elementary,2012,Grade 12,0
Alberton Elementary,2013,K,22
Alberton Elementary,2013,Grade 1,18
Alberton Elementary,2013,Grade 2,24
Alberton Elementary,2013,Grade 3,20
Alberton Elementary,2013,Grade 4,16
Alberton Elementary,2013,Grade 5,18
Alberton Elementary,2013,Grade 6,30
Alberton Elementary,2013,Grade 7,0
Alberton Elementary,2013,Grade 8,0
Alberton Elementary,2013,Grade 9,0
Alberton Elementary,2013,Grade 10,0
Alberton Elementary,2013,Grade 11,0
Alberton Elementary,2013,Grade 12,0
Alberton Elementary,2014,K,15
Alberton Elementary,2014,Grade 1,23
Alberton Elementary,2014,Grade 2,14
Alberton Elementary,2014,Grade 3,23
Alberton Elementary,2014,Grade 4,24
Alberton Elementary,2014,Grade 5,14
Alberton Elementary,2014,Grade 6,16
Alberton Elementary,2014,Grade 7,0
Alberton Elementary,2014,Grade 8,0
Alberton Elementary,2014,Grade 9,0
Alberton Elementary,2014,Grade 10,0
Alberton Elementary,2014,Grade 11,0
Alberton Elementary,2014,Grade 12,0
Alberton Elementary,2015,K,12
Alberton Elementary,2015,Grade 1,15
Alberton Elementary,2015,Grade 2,23
Alberton Elementary,2015,Grade 3,15
Alberton Elementary,2015,Grade 4,24
Alberton Elementary,2015,Grade 5,24
Alberton Elementary,2015,Grade 6,14
Alberton Elementary,2015,Grade 7,0
Alberton Elementary,2015,Grade 8,0
Alberton Elementary,2015,Grade 9,0
Alberton Elementary,2015,Grade 10,0
Alberton Elementary,2015,Grade 11,0
Alberton Elementary,2015,Grade 12,0
Alternative Education Class,1999,K,0
Alternative Education Class,1999,Grade 1,0
Alternative Education Class,1999,Grade 2,0
Alternative Education Class,1999,Grade 3,0
Alternative Education Class,1999,Grade 4,0
Alternative Education Class,1999,Grade 5,0
Alternative Education Class,1999,Grade 6,0
Alternative Education Class,1999,Grade 7,3
Alternative Education Class,1999,Grade 8,6
Alternative Education Class,1999,Grade 9,8
Alternative Education Class,1999,Grade 10,3
Alternative Education Class,1999,Grade 11,0
Alternative Education Class,1999,Grade 12,0
Alternative Education Class,2000,K,0
Alternative Education Class,2000,Grade 1,0
Alternative Education Class,2000,Grade 2,0
Alternative Education Class,2000,Grade 3,0
Alternative Education Class,2000,Grade 4,0
Alternative Education Class,2000,Grade 5,0
Alternative Education Class,2000,Grade 6,0
Alternative Education Class,2000,Grade 7,0
Alternative Education Class,2000,Grade 8,3
Alternative Education Class,2000,Grade 9,11
Alternative Education Class,2000,Grade 10,4
Alternative Education Class,2000,Grade 11,0
Alternative Education Class,2000,Grade 12,0
Alternative Education Class,2001,K,0
Alternative Education Class,2001,Grade 1,0
Alternative Education Class,2001,Grade 2,0
Alternative Education Class,2001,Grade 3,0
Alternative Education Class,2001,Grade 4,0
Alternative Education Class,2001,Grade 5,0
Alternative Education Class,2001,Grade 6,0
Alternative Education Class,2001,Grade 7,0
Alternative Education Class,2001,Grade 8,7
Alternative Education Class,2001,Grade 9,13
Alternative Education Class,2001,Grade 10,0
Alternative Education Class,2001,Grade 11,0
Alternative Education Class,2001,Grade 12,0
Alternative Education Class,2002,K,0
Alternative Education Class,2002,Grade 1,0
Alternative Education Class,2002,Grade 2,0
Alternative Education Class,2002,Grade 3,0
Alternative Education Class,2002,Grade 4,0
Alternative Education Class,2002,Grade 5,0
Alternative Education Class,2002,Grade 6,0
Alternative Education Class,2002,Grade 7,0
Alternative Education Class,2002,Grade 8,3
Alternative Education Class,2002,Grade 9,14
Alternative Education Class,2002,Grade 10,6
Alternative Education Class,2002,Grade 11,0
Alternative Education Class,2002,Grade 12,0
Alternative Education Class,2003,K,0
Alternative Education Class,2003,Grade 1,0
Alternative Education Class,2003,Grade 2,0
Alternative Education Class,2003,Grade 3,0
Alternative Education Class,2003,Grade 4,0
Alternative Education Class,2003,Grade 5,0
Alternative Education Class,2003,Grade 6,0
Alternative Education Class,2003,Grade 7,0
Alternative Education Class,2003,Grade 8,2
Alternative Education Class,2003,Grade 9,16
Alternative Education Class,2003,Grade 10,2
Alternative Education Class,2003,Grade 11,0
Alternative Education Class,2003,Grade 12,0
Alternative Education Class,2004,K,0
Alternative Education Class,2004,Grade 1,0
Alternative Education Class,2004,Grade 2,0
Alternative Education Class,2004,Grade 3,0
Alternative Education Class,2004,Grade 4,0
Alternative Education Class,2004,Grade 5,0
Alternative Education Class,2004,Grade 6,0
Alternative Education Class,2004,Grade 7,4
Alternative Education Class,2004,Grade 8,11
Alternative Education Class,2004,Grade 9,4
Alternative Education Class,2004,Grade 10,1
Alternative Education Class,2004,Grade 11,0
Alternative Education Class,2004,Grade 12,0
Alternative Education Class,2005,K,0
Alternative Education Class,2005,Grade 1,0
Alternative Education Class,2005,Grade 2,0
Alternative Education Class,2005,Grade 3,0
Alternative Education Class,2005,Grade 4,0
Alternative Education Class,2005,Grade 5,0
Alternative Education Class,2005,Grade 6,0
Alternative Education Class,2005,Grade 7,4
Alternative Education Class,2005,Grade 8,4
Alternative Education Class,2005,Grade 9,10
Alternative Education Class,2005,Grade 10,3
Alternative Education Class,2005,Grade 11,0
