School,Year,Size
Alberton Elementary,1999,229
Alberton Elementary,2000,231
Alberton Elementary,2001,237
Alberton Elementary,2002,213
Alberton Elementary,2003,225
Alberton Elementary,2004,218
Alberton Elementary,2005,219
Alberton Elementary,2006,214
Alberton Elementary,2007,194
Alberton Elementary,2008,186
Alberton Elementary,2009,167
Alberton Elementary,2010,175
Alberton Elementary,2011,178
Alberton Elementary,2012,158
Alberton Elementary,2013,148
Alberton Elementary,2014,129
Alberton Elementary,2015,127
Amherst Cove Consolidated,1999,184
Amherst Cove Consolidated,2000,180
Amherst Cove Consolidated,2001,192
Amherst Cove Consolidated,2002,194
Amherst Cove Consolidated,2003,190
Amherst Cove Consolidated,2004,183
Amherst Cove Consolidated,2005,172
Amherst Cove Consolidated,2006,169
Amherst Cove Consolidated,2007,147
Amherst Cove Consolidated,2008,143
Amherst Cove Consolidated,2009,128
Amherst Cove Consolidated,2010,138
Amherst Cove Consolidated,2011,132
Amherst Cove Consolidated,2012,120
Amherst Cove Consolidated,2013,130
Amherst Cove Consolidated,2014,122
Amherst Cove Consolidated,2015,125
Athena Consolidated,1999,438
Athena Consolidated,2000,420
Athena Consolidated,2001,433
Athena Consolidated,2002,435
Athena Consolidated,2003,421
Athena Consolidated,2004,403
Athena Consolidated,2005,386
Athena Consolidated,2006,367
Athena Consolidated,2007,356
Athena Consolidated,2008,357
Athena Consolidated,2009,370
Athena Consolidated,2010,394
Athena Consolidated,2011,382
Athena Consolidated,2012,379
Athena Consolidated,2013,372
Athena Consolidated,2014,355
Athena Consolidated,2015,338
Belfast Consolidated,1999,286
Belfast Consolidated,2000,286
Belfast Consolidated,2001,283
Belfast Consolidated,2002,264
Belfast Consolidated,2003,251
Belfast Consolidated,2004,238
Belfast Consolidated,2005,214
Belfast Consolidated,2006,194
Belfast Consolidated,2007,169
Belfast Consolidated,2008,144
Belfast Consolidated,2009,125
Belfast Consolidated,2010,126
Belfast Consolidated,2011,116
Belfast Consolidated,2012,120
Belfast Consolidated,2013,100
Belfast Consolidated,2014,95
Belfast Consolidated,2015,102
Birchwood Intermediate,1999,458
Birchwood Intermediate,2000,433
Birchwood Intermediate,2001,447
Birchwood Intermediate,2002,470
Birchwood Intermediate,2003,460
Birchwood Intermediate,2004,443
Birchwood Intermediate,2005,428
Birchwood Intermediate,2006,382
Birchwood Intermediate,2007,354
Birchwood Intermediate,2008,306
Birchwood Intermediate,2009,296
Birchwood Intermediate,2010,283
Birchwood Intermediate,2011,240
Birchwood Intermediate,2012,232
Birchwood Intermediate,2013,218
Birchwood Intermediate,2014,213
Birchwood Intermediate,2015,211
Bloomfield Elementary,1999,235
Bloomfield Elementary,2000,221
Bloomfield Elementary,2001,205
Bloomfield Elementary,2002,202
Bloomfield Elementary,2003,206
Bloomfield Elementary,2004,197
Bloomfield Elementary,2005,179
Bloomfield Elementary,2006,172
Bloomfield Elementary,2007,165
Bloomfield Elementary,2008,153
Bloomfield Elementary,2009,146
Bloomfield Elementary,2010,181
Bloomfield Elementary,2011,195
Bloomfield Elementary,2012,188
Bloomfield Elementary,2013,201
Bloomfield Elementary,2014,200
Bloomfield Elementary,2015,207
Bluefield High,1999,826
Bluefield High,2000,807
Bluefield High,2001,850
Bluefield High,2002,853
Bluefield High,2003,831
Bluefield High,2004,831
Bluefield High,2005,844
Bluefield High,2006,857
Bluefield High,2007,851
Bluefield High,2008,821
Bluefield High,2009,788
Bluefield High,2010,762
Bluefield High,2011,773
Bluefield High,2012,774
Bluefield High,2013,774
Bluefield High,2014,735
Bluefield High,2015,661
Cardigan Consolidated,1999,234
Cardigan Consolidated,2000,235
Cardigan Consolidated,2001,215
Cardigan Consolidated,2002,201
Cardigan Consolidated,2003,191
Cardigan Consolidated,2004,168
Cardigan Consolidated,2005,153
Cardigan Consolidated,2006,149
Cardigan Consolidated,2007,127
Cardigan Consolidated,2008,118
Cardigan Consolidated,2009,118
Cardigan Consolidated,2010,136
Cardigan Consolidated,2011,128
Cardigan Consolidated,2012,114
Cardigan Consolidated,2013,108
Cardigan Consolidated,2014,96
Cardigan Consolidated,2015,97
Central Queens Elementary,1999,288
Central Queens Elementary,2000,274
Central Queens Elementary,2001,264
Central Queens Elementary,2002,247
Central Queens Elementary,2003,230
Central Queens Elementary,2004,219
Central Queens Elementary,2005,214
Central Queens Elementary,2006,199
Central Queens Elementary,2007,181
Central Queens Elementary,2008,182
Central Queens Elementary,2009,184
Central Queens Elementary,2010,244
Central Queens Elementary,2011,239
Central Queens Elementary,2012,254
Central Queens Elementary,2013,258
Central Queens Elementary,2014,256
Central Queens Elementary,2015,247
Charlottetown Rural High,1999,1053
Charlottetown Rural High,2000,1097
Charlottetown Rural High,2001,1083
Charlottetown Rural High,2002,1060
Charlottetown Rural High,2003,1035
Charlottetown Rural High,2004,1001
Charlottetown Rural High,2005,1056
Charlottetown Rural High,2006,1067
Charlottetown Rural High,2007,1116
Charlottetown Rural High,2008,1119
Charlottetown Rural High,2009,1104
Charlottetown Rural High,2010,1044
Charlottetown Rural High,2011,993
Charlottetown Rural High,2012,995
Charlottetown Rural High,2013,975
Charlottetown Rural High,2014,911
Charlottetown Rural High,2015,858
Colonel Gray Senior High,1999,944
Colonel Gray Senior High,2000,966
Colonel Gray Senior High,2001,972
Colonel Gray Senior High,2002,929
Colonel Gray Senior High,2003,918
Colonel Gray Senior High,2004,931
Colonel Gray Senior High,2005,963
Colonel Gray Senior High,2006,968
Colonel Gray Senior High,2007,964
Colonel Gray Senior High,2008,970
Colonel Gray Senior High,2009,944
Colonel Gray Senior High,2010,1001
Colonel Gray Senior High,2011,961
Colonel Gray Senior High,2012,947
Colonel Gray Senior High,2013,884
Colonel Gray Senior High,2014,866
Colonel Gray Senior High,2015,845
Donagh Regional,1999,178
Donagh Regional,2000,168
Donagh Regional,2001,166
Donagh Regional,2002,163
Donagh Regional,2003,161
Donagh Regional,2004,151
Donagh Regional,2005,149
Donagh Regional,2006,147
Donagh Regional,2007,139
Donagh Regional,2008,143
Donagh Regional,2009,141
Donagh Regional,2010,146
Donagh Regional,2011,137
Donagh Regional,2012,125
Donagh Regional,2013,126
Donagh Regional,2014,122
Donagh Regional,2015,116
Dundas Consolidated,1999,76
Dundas Consolidated,2000,77
Dundas Consolidated,2001,78
Dundas Consolidated,2002,78
Dundas Consolidated,2003,74
Dundas Consolidated,2004,77
Dundas Consolidated,2005,76
Dundas Consolidated,2006,78
Dundas Consolidated,2007,77
Dundas Consolidated,2008,69
Dundas Consolidated,2009,0
Dundas Consolidated,2010,0
Dundas Consolidated,2011,0
