Department or Agency,Fiscal Year,Amount (000's)
"Agriculture and Forestry",FY 2011/12,73096
"Agriculture and Forestry",FY 2012/13,78986
"Agriculture and Forestry",FY 2013/14,70013
"Agriculture and Forestry",FY 2014/15,72617
"Auditor General's Office",FY 2011/12,1742
"Auditor General's Office",FY 2012/13,1594
"Auditor General's Office",FY 2013/14,1662
"Auditor General's Office",FY 2014/15,1781
"Community Services and Seniors",FY 2011/12,100520
"Community Services and Seniors",FY 2012/13,88611
"Community Services and Seniors",FY 2013/14,89858
"Community Services and Seniors",FY 2014/15,95043
"Department of Education and Early Childhood Development",FY 2011/12,29806
"Department of Education and Early Childhood Development",FY 2012/13,27348
"Department of Education and Early Childhood Development",FY 2013/14,20322
"Department of Education and Early Childhood Development",FY 2014/15,25618
"English Language School Board",FY 2011/12,181993
"English Language School Board",FY 2012/13,187318
"English Language School Board",FY 2013/14,201798
"English Language School Board",FY 2014/15,195295
"French Language School Board",FY 2011/12,11950
"French Language School Board",FY 2012/13,13160
"French Language School Board",FY 2013/14,14009
"French Language School Board",FY 2014/15,13461
"Island Regulatory and Appeals Commission",FY 2011/12,2206
"Island Regulatory and Appeals Commission",FY 2012/13,2373
"Island Regulatory and Appeals Commission",FY 2013/14,2264
"Island Regulatory and Appeals Commission",FY 2014/15,2382
"Department of Environment, Labour and Justice",FY 2011/12,58565
"Department of Environment, Labour and Justice",FY 2012/13,59991
"Department of Environment, Labour and Justice",FY 2013/14,59771
"Department of Environment, Labour and Justice",FY 2014/15,60595
"P.E.I. Human Rights Commission",FY 2011/12,430
"P.E.I. Human Rights Commission",FY 2012/13,401
"P.E.I. Human Rights Commission",FY 2013/14,412
"P.E.I. Human Rights Commission",FY 2014/15,426
"Executive Council",FY 2011/12,9121
"Executive Council",FY 2012/13,8436
"Executive Council",FY 2013/14,8737
"Executive Council",FY 2014/15,8733
"Department of Finance, Energy and Municipal Affairs",FY 2011/12,64254
"Department of Finance, Energy and Municipal Affairs",FY 2012/13,63503
"Department of Finance, Energy and Municipal Affairs",FY 2013/14,66525
"Department of Finance, Energy and Municipal Affairs",FY 2014/15,72018
"Council of Atlantic Premiers",FY 2011/12,186
"Council of Atlantic Premiers",FY 2012/13,187
"Council of Atlantic Premiers",FY 2013/14,188
"Council of Atlantic Premiers",FY 2014/15,188
"General Government",FY 2011/12,3792
"General Government",FY 2012/13,5742
"General Government",FY 2013/14,6057
"General Government",FY 2014/15,4422
"Employee Benefits",FY 2011/12,42013
"Employee Benefits",FY 2012/13,46310
"Employee Benefits",FY 2013/14,60136
"Employee Benefits",FY 2014/15,49401
"Harness Racing PEI Inc.",FY 2011/12,11
"Harness Racing PEI Inc.",FY 2012/13,0
"Harness Racing PEI Inc.",FY 2013/14,0
"Harness Racing PEI Inc.",FY 2014/15,0
"P.E.I. Self-Insurance and Risk Management Fund",FY 2011/12,3301
"P.E.I. Self-Insurance and Risk Management Fund",FY 2012/13,3736
"P.E.I. Self-Insurance and Risk Management Fund",FY 2013/14,3877
"P.E.I. Self-Insurance and Risk Management Fund",FY 2014/15,3920
"Interest on Unfunded Employees Future Benefits",FY 2011/12,21887
"Interest on Unfunded Employees Future Benefits",FY 2012/13,13571
"Interest on Unfunded Employees Future Benefits",FY 2013/14,17368
"Interest on Unfunded Employees Future Benefits",FY 2014/15,5841
"P.E.I. Energy Corporation",FY 2011/12,569
"P.E.I. Energy Corporation",FY 2012/13,544
"P.E.I. Energy Corporation",FY 2013/14,0
"P.E.I. Energy Corporation",FY 2014/15,0
"Department of Fisheries, Aquaculture, and Rural Development",FY 2011/12,12106
"Department of Fisheries, Aquaculture, and Rural Development",FY 2012/13,9229
"Department of Fisheries, Aquaculture, and Rural Development",FY 2013/14,9776
"Department of Fisheries, Aquaculture, and Rural Development",FY 2014/15,9597
"Employment Development Agency",FY 2011/12,5813
"Employment Development Agency",FY 2012/13,5337
"Employment Development Agency",FY 2013/14,5254
"Employment Development Agency",FY 2014/15,5378
