Validated,Name,Exists,Description,Coordinates
,Purple House ,no,"that house in East Royalty, Ch'town",
,Sir John A Statue,yes,in Ch'town near Confed Centre,
,Devil's Punchbowl,yes,"park / trail , near South Granville","46.409386, -63.485383"
,Shamas,No,corner of Euston and Upper Hillsborough,
,The Shanty,no,Montague,"46.162848, -62.634162"
,Hillside Inn,no,Montague,"46.163167, -62.644479"
,Bobby Clow's,yes,North Wiltshire, 
,Sam's Corner,no,North River, 
,Ken's Corner,no,Corner of Euston and Longworth in Charlottetown,"46.240596, -63.125279"
,Tower's Mall,no,Charlottetown Mall,"46.266229, -63.144209"
,Peter Pan Corner,no,Corner of University Ave. and Trans Canada,"46.266368, -63.148940"
,Eddie's Lunch,no,Corner of Prince and King in Charlottetown,"46.234395, -63.122578"
,Ellis Brothers,no,Corner of St. Peters Rd. and Brackley Point Rd.,"46.260787, -63.119764"
,Slick's Place,no,Malpeque Road near the pumping station,"46.268551, -63.150942"
,Blue Church,no,Stratford ,
,The old jail ,no,"Now pizza delight, 1911 Jail, 113 Longworth Ave.","46.245662,-63.1259367"
,Sleepy Hollow ,yes,"Provincial Correctional Centre, 508 Sleepy Hollow Road
Milton Station, PE
C1E 0Z3","46.2886131,-63.2103753"
,Mermaid Mini Farm,no ,Mermaid, 
,Old Home Hardware,no,Stratford ,
,Old Dominion Building,no,Charlottetown  ,
,K-Mart,no,Charlottetown,"46.250461, -63.140339"
,Carragher's Store,no,"Emyvale, Corner of Peters and Kingston Road","46.278902, -63.343281"
,Spring Park Plaza,no,"Oak Tree Mall, Ch'town",
,Kay Bros Building,no,Ch'town,
,Harley Club,Yes,Ch'town,"46.243223, -63.132916"
,Gordie Dunn's,no,"""the red house"", Chestnut St, Ch'town",
,Action Corner,?,Ch'town,
,Bascilica / Rec Centre,no,Murphy's Community Centre,
,North River Causeway,?,TCH between Chtown & Cornwall over North River,"46.257955, -63.182323"
,That sub shop that blew up and burned down,,Corner of Main and School st. Montague,
,where the old rink was,,"Sackville st north of Kent store, Montague",
,The Brite Spot,no,West Royalty,"46.2575305, -63.1567387"
,Rainbow Valley,no,Cavendish,"46.490650, -63.393803"
,Fox Farm,?,Summerside,"46.398744, -63.778056"
,Mallett's Mill,no,North Granville,"46.421027, -63.484015"
,The Dunk,?,Breadalbane,"46.352638, -63.490124"
,The Forks,?,Miltonvale Park,"46.303002, -63.224064 "
,Moss Plant,no,North Lake,"46.468461, -63.072003"
,Mossey's?,no,now Elliott's Store in Souris,"46.404688, -63.078109"
,The Piggery,no,in Souris,not sure
,Kensington Railway Station,yes,"Broadway Street North, Kensington",
