"Lat","Long","Name","Exists","Type","Description"
46.188494,-62.932969,"Busters Garage","Y","001_B",""
46.265678,-63.158511,"Skate Country","N","001_B",""
46.274535,-63.106944,"Purple House","N","002_S",""
46.286329,-63.276443,"Red Roof Church","N","003_C",""
46.509245,-63.992138,"Irving Service Station","N","001_B",""
46.405732,-62.256311,"Artesian Well","Y","004_N",""
46.164344,-62.648590,"Montague Dairy","N","001_B",""
46.222967,-63.305076,"Fairyland","N","001_B",""
46.233690,-63.126961,"Sir John A Statue","Y","005_M",""
46.266062,-63.144553,"Towers","N","001_B",""
